name,slug,timed_or_repped,tracking_mode,equipment,required_equipment,optional_or_support_equipment,equipment_slugs,equipment_bucket,exercise_type,primary_muscle,source_line,correct_tracking_mode,correct_equipment,notes
Deadlift,deadlift,repped,reps,Barbell; Weight plates,Barbell; Weight plates,None,barbell; weight_plates,gym,strength,back,374,,,
Dumbbell Row,dumbbell_row,repped,reps,Dumbbells; Flat bench,Dumbbells,Flat bench,dumbbells; flat_bench,dumbbells,strength,back,473,,,
Dumbbell Shrug,dumbbell_shrug,repped,reps,Dumbbells,Dumbbells,None,dumbbells,dumbbells,strength,back,4499,,,
Inverted Row,inverted_row,repped,reps,Pull-up bar; Squat rack; Suspension trainer,None,Pull-up bar; Squat rack; Suspension trainer,pull_up_bar; squat_rack; suspension_trainer,home,strength,back,620,,,
Kettlebell Row,kettlebell_row,repped,reps,Kettlebell,Kettlebell,None,kettlebell,other,strength,back,3934,,,
Kneeling Cable Lat Pulldown,kneeling_cable_lat_pulldown,repped,reps,Cable machine,Cable machine,None,cable_machine,gym,strength,back,4420,,,
Lat Pulldown,lat_pulldown,repped,reps,Lat pulldown,Lat pulldown,None,lat_pulldown_machine,gym,strength,back,555,,,
Meadows Row,meadows_row,repped,reps,Barbell; Landmine attachment,Barbell,Landmine attachment,barbell; landmine_attachment,gym,strength,back,4514,,,
Neutral-Grip Lat Pulldown,neutral_grip_lat_pulldown,repped,reps,Lat pulldown; Cable V-bar / triangle,Lat pulldown,Cable V-bar / triangle,lat_pulldown_machine; v_bar_attachment,gym,strength,back,3089,,,
Pendlay Row,pendlay_row,repped,reps,Barbell,Barbell,None,barbell,gym,strength,back,440,,,
Plate-Loaded Machine Row,machine_row,repped,reps,Plate-loaded row machine,Plate-loaded row machine,None,machine_row_station,gym,strength,back,3123,,,
Prone W Pull,prone_w_pull,repped,reps,None,None,None,None,bodyweight,strength,back,7238,,,
Pull-ups,pullups,repped,reps,Pull-up bar,Pull-up bar,None,pull_up_bar,home,strength,back,507,,,
Pullover Machine,pullover_machine,repped,reps,Pullover machine,Pullover machine,None,pullover_machine,gym,strength,back,4550,,,
Rack Pull,rack_pull,repped,reps,Barbell; Power rack,Barbell; Power rack,None,barbell; power_rack,gym,strength,back,407,,,
Reverse Snow Angel,reverse_snow_angel,repped,reps,None,None,None,None,bodyweight,strength,back,7254,,,
Scapular Pull-up,scapular_pullup,repped,reps,Pull-up bar,Pull-up bar,None,pull_up_bar,gym,strength,back,4453,,,
Seal Row,seal_row,repped,reps,Barbell; Adjustable bench,Barbell; Adjustable bench,None,barbell; adjustable_bench,gym,strength,back,4532,,,
Seated Cable Row,seated_cable_row,repped,reps,Cable machine,Cable machine,None,cable_machine,gym,strength,back,571,,,
Seated Row Machine,seated_row_machine,repped,reps,Seated row machine,Seated row machine,None,seated_row_machine,gym,strength,back,4387,,,
Single-Arm Cable Row,single_arm_cable_row,repped,reps,Cable machine,Cable machine,None,cable_machine,gym,strength,back,2851,,,
Single-Arm Lat Pulldown,single_arm_lat_pulldown,repped,reps,Cable machine; Cable D-handle,Cable machine; Cable D-handle,None,cable_machine; d_handle,gym,strength,back,4402,,,
Stability Ball Back Extension,stability_ball_back_extension,repped,reps,Swiss / stability ball,Swiss / stability ball,None,swiss_ball,other,strength,back,6216,,,
Straight-arm Pulldown,straight_arm_pulldown,repped,reps,Cable machine,Cable machine,None,cable_machine,gym,strength,back,587,,,
Superman Hold,superman_hold,timed,time,None,None,None,None,bodyweight,strength,back,647,,,
Suspension Trainer Row,suspension_row,repped,reps,Suspension trainer,Suspension trainer,None,suspension_trainer,home,strength,back,3685,,,
T-Bar Row,t_bar_row,repped,reps,Barbell; Landmine attachment,Barbell; Landmine attachment,None,barbell; landmine_attachment,gym,strength,back,456,,,
Wide-Grip Lat Pulldown,wide_grip_lat_pulldown,repped,reps,Lat pulldown; Cable straight bar,Lat pulldown,Cable straight bar,lat_pulldown_machine; straight_bar_attachment,gym,strength,back,3072,,,
Alternating Dumbbell Curl,alternating_dumbbell_curl,repped,reps,Dumbbells,Dumbbells,None,dumbbells,dumbbells,strength,biceps,2887,,,
Band Bicep Curl,band_bicep_curl,repped,reps,Resistance bands (tube),Resistance bands (tube),None,resistance_bands,home,strength,biceps,6339,,,
Barbell Curl,barbell_curl,repped,reps,Barbell,Barbell,None,barbell,gym,strength,biceps,946,,,
Bayesian Cable Curl,bayesian_cable_curl,repped,reps,Cable machine; Cable D-handle,Cable machine; Cable D-handle,None,cable_machine; d_handle,gym,strength,biceps,4714,,,
Cable Curl,cable_curl,repped,reps,Cable machine,Cable machine,None,cable_machine,gym,strength,biceps,1065,,,
Cable Hammer Curl,cable_hammer_curl,repped,reps,Cable machine,Cable machine,None,cable_machine,gym,strength,biceps,4748,,,
Concentration Curl,concentration_curl,repped,reps,Dumbbells,Dumbbells,None,dumbbells,dumbbells,strength,biceps,1027,,,
Cross-Body Hammer Curl,cross_body_hammer_curl,repped,reps,Dumbbells,Dumbbells,None,dumbbells,dumbbells,strength,biceps,3245,,,
Drag Curl,drag_curl,repped,reps,Barbell,Barbell,None,barbell,gym,strength,biceps,4763,,,
Dumbbell Curl,dumbbell_curl,repped,reps,Dumbbells,Dumbbells,None,dumbbells,dumbbells,strength,biceps,978,,,
EZ Bar Curl,ez_bar_curl,repped,reps,EZ curl bar,EZ curl bar,None,ez_curl_bar,gym,strength,biceps,962,,,
Hammer Curl,hammer_curl,repped,reps,Dumbbells,Dumbbells,None,dumbbells,dumbbells,strength,biceps,994,,,
Incline Dumbbell Curl,incline_dumbbell_curl,repped,reps,Dumbbells; Adjustable bench,Dumbbells; Adjustable bench,None,dumbbells; adjustable_bench,dumbbells,strength,biceps,1010,,,
Incline Hammer Curl,incline_hammer_curl,repped,reps,Dumbbells; Adjustable bench,Dumbbells; Adjustable bench,None,dumbbells; adjustable_bench,dumbbells,strength,biceps,3211,,,
Machine Preacher Curl,machine_preacher_curl,repped,reps,Preacher curl bench,Preacher curl bench,None,preacher_bench,gym,strength,biceps,4732,,,
Preacher Curl,preacher_curl,repped,reps,Preacher curl bench; EZ curl bar; Dumbbells,Preacher curl bench,EZ curl bar; Dumbbells,preacher_bench; ez_curl_bar; dumbbells,gym,strength,biceps,1043,,,
Reverse Curl,reverse_curl,repped,reps,EZ curl bar; Dumbbells,None,EZ curl bar; Dumbbells,ez_curl_bar; dumbbells,dumbbells,strength,biceps,3228,,,
Spider Curl,spider_curl,repped,reps,Dumbbells; Adjustable bench,Dumbbells; Adjustable bench,None,dumbbells; adjustable_bench,dumbbells,strength,biceps,4696,,,
Zottman Curl,zottman_curl,repped,reps,Dumbbells,Dumbbells,None,dumbbells,dumbbells,strength,biceps,4778,,,
Jump Rope (Calf Focus),jump_rope_calf,timed,time,Jump rope,Jump rope,None,jump_rope,home,cardio,calves,1787,,,
Jump Rope Single-Leg Hops,jump_rope_single_leg_hops,timed,time,Jump rope,Jump rope,None,jump_rope,other,cardio,calves,5448,,,
Ankle Mobility Drill,ankle_mobility_drill,timed,time,None,None,None,None,bodyweight,mobility,calves,1820,,,
Banded Ankle Mobilization,banded_ankle_mobilization,repped,reps,Resistance bands (tube),Resistance bands (tube),None,resistance_bands,gym,mobility,calves,6142,,,
Calf Wall Stretch,calf_wall_stretch,timed,time,None,None,None,None,bodyweight,mobility,calves,6126,,,
Foam Roller Calf Release,foam_roller_calf_release,timed,time,Foam roller,Foam roller,None,foam_roller,home,mobility,calves,6659,,,
Calf Raise on Leg Press,calf_raise_on_leg_press,repped,reps,Leg press,Leg press,None,leg_press_machine,gym,strength,calves,3448,,,
Donkey Calf Raise,donkey_calf_raise,repped,reps,Standing calf raise machine,Standing calf raise machine,None,standing_calf_raise_machine,gym,strength,calves,3432,,,
Dumbbell Standing Calf Raise,dumbbell_standing_calf_raise,repped,reps,Dumbbells,Dumbbells,None,dumbbells,dumbbells,strength,calves,5403,,,
Heel Walks,heel_walks,distance,distance,None,None,None,None,bodyweight,strength,calves,5496,,,
Pogo Jumps,pogo_jumps,repped,reps,None,None,None,None,bodyweight,strength,calves,3529,,,
Seated Calf Raise,seated_calf_raise,repped,reps,Seated calf raise machine,Seated calf raise machine,None,seated_calf_raise_machine,gym,strength,calves,1755,,,
Single-Leg Seated Calf Raise,single_leg_seated_calf_raise,repped,reps,Seated calf raise machine,Seated calf raise machine,None,seated_calf_raise_machine,gym,strength,calves,5433,,,
Single-leg Calf Raise,single_leg_calf_raise,repped,reps,None,None,None,None,bodyweight,strength,calves,1773,,,
Slant Board Calf Raise,slant_board_calf_raise,repped,reps,Slant board,Slant board,None,slant_board,bodyweight,strength,calves,6757,,,
Smith Machine Calf Raise,smith_machine_calf_raise,repped,reps,Smith machine,Smith machine,None,smith_machine,gym,strength,calves,5418,,,
Standing Calf Raise,standing_calf_raise,repped,reps,Standing calf raise machine,Standing calf raise machine,None,standing_calf_raise_machine,gym,strength,calves,1737,,,
Step Platform Calf Raise,step_platform_calf_raise,repped,reps,Step platform (low),Step platform (low),None,step_platform,bodyweight,strength,calves,6707,,,
Tibialis Machine Raise,tibialis_machine_raise,repped,reps,Tibialis raise machine,Tibialis raise machine,None,tibialis_raise_machine,gym,strength,calves,5466,,,
Tibialis Raise,tibialis_raise,repped,reps,None,None,None,None,bodyweight,strength,calves,1806,,,
Toe Walks,toe_walks,distance,distance,None,None,None,None,bodyweight,strength,calves,5481,,,
Agility Ladder Footwork,agility_ladder_footwork,timed,time,Agility ladder,Agility ladder,None,agility_ladder,cardio,cardio,cardio,7033,,,
Assault Bike,assault_bike,timed,time,Assault bike,Assault bike,None,assault_bike,cardio,cardio,cardio,2191,,,
Bike Zone 2,bike_zone2,timed,time,Stationary bike,Stationary bike,None,stationary_bike,cardio,cardio,cardio,5830,,,
Boxing Heavy Bag,boxing_heavy_bag,timed,time,Heavy bag,Heavy bag,None,heavy_bag,other,cardio,cardio,5914,,,
Brisk Walk,brisk_walk,timed,time,None,None,None,None,bodyweight,cardio,cardio,5733,,,
Butt Kicks,butt_kicks,timed,time,None,None,None,None,bodyweight,cardio,cardio,7128,,,
Cone Shuttle Run,cone_shuttle_run,timed,time,Training cones,Training cones,None,training_cones,cardio,cardio,cardio,7050,,,
Cycling (Outdoor),cycling_outdoor,timed,time,Outdoor bike,Outdoor bike,None,outdoor_bike,bodyweight,cardio,cardio,2371,,,
Elliptical,elliptical,timed,time,Elliptical,Elliptical,None,elliptical,cardio,cardio,cardio,2210,,,
Elliptical Intervals,elliptical_intervals,timed,time,Elliptical,Elliptical,None,elliptical,cardio,cardio,cardio,5814,,,
Fast Feet,fast_feet,timed,time,None,None,None,None,bodyweight,cardio,cardio,7146,,,
High Knees,high_knees,timed,time,None,None,None,None,bodyweight,cardio,cardio,7110,,,
Hiking,hiking,timed,time,None,None,None,None,bodyweight,cardio,cardio,5749,,,
Hill Sprints,hill_sprints,timed,time,None,None,None,None,bodyweight,cardio,cardio,2338,,,
Incline Walk,incline_walk,timed,time,Treadmill,Treadmill,None,treadmill,cardio,cardio,cardio,2133,,,
Jogging,jogging,timed,time,None,None,None,None,bodyweight,cardio,cardio,2307,,,
Jump Rope,jump_rope,timed,time,Jump rope,Jump rope,None,jump_rope,home,cardio,cardio,2389,,,
Jump Rope HIIT,jump_rope_hiit,timed,time,Jump rope,Jump rope,None,jump_rope,home,cardio,cardio,2407,,,
Jumping Jacks,jumping_jacks,timed,time,None,None,None,None,bodyweight,cardio,cardio,7092,,,
Lateral Shuffle Cones,lateral_shuffle_cones,timed,time,Training cones,Training cones,None,training_cones,cardio,cardio,cardio,7067,,,
Line Hops,line_hops,timed,time,None,None,None,None,bodyweight,cardio,cardio,7218,,,
No-Jump March + Step-Touch Cardio,low_impact_cardio_circuit,timed,time,None,None,None,None,bodyweight,cardio,cardio,5947,,,
Outdoor Walk,outdoor_walk,timed,time,None,None,None,None,bodyweight,cardio,cardio,5717,,,
Rowing Zone 2,rowing_zone2,timed,time,Rowing machine,Rowing machine,None,rowing_machine,cardio,cardio,cardio,5847,,,
Rucking,rucking,distance,distance,Ruck pack,Ruck pack,None,ruck_pack,cardio,cardio,cardio,5765,,,
Running (Outdoor),running_outdoor,timed,time,None,None,None,None,bodyweight,cardio,cardio,2292,,,
Shadow Boxing,shadow_boxing,timed,time,None,None,None,None,bodyweight,cardio,cardio,5930,,,
Skater Hops,skater_hops,timed,time,None,None,None,None,bodyweight,cardio,cardio,7200,,,
SkiErg,skierg,timed,time,SkiErg,SkiErg,None,skierg,cardio,cardio,cardio,5863,,,
SkiErg Intervals,skierg_intervals,timed,time,SkiErg,SkiErg,None,skierg,cardio,cardio,cardio,5880,,,
Sprint Intervals,sprint_intervals,timed,time,None,None,None,None,bodyweight,cardio,cardio,2322,,,
Stair Climber,stair_climber,timed,time,Stair climber,Stair climber,None,stair_climber,cardio,cardio,cardio,2229,,,
Stair Climber Intervals,stair_climber_intervals,timed,time,Stair climber,Stair climber,None,stair_climber,cardio,cardio,cardio,5798,,,
Stationary Bike,stationary_bike,timed,time,Stationary bike,Stationary bike,None,stationary_bike,cardio,cardio,cardio,2152,,,
Stationary Bike Intervals,stationary_bike_intervals,timed,time,Stationary bike,Stationary bike,None,stationary_bike,cardio,cardio,cardio,2171,,,
Step Aerobics,step_aerobics,timed,time,Step platform (low),Step platform (low),None,step_platform,cardio,cardio,cardio,6722,,,
Swimming Laps,swimming_laps,timed,time,Swimming pool,Swimming pool,None,swimming_pool,bodyweight,cardio,cardio,2354,,,
Treadmill Intervals,treadmill_intervals,timed,time,Treadmill,Treadmill,None,treadmill,cardio,cardio,cardio,2113,,,
Treadmill Run,treadmill_run,timed,time,Treadmill,Treadmill,None,treadmill,cardio,cardio,cardio,2094,,,
Treadmill Walk,treadmill_walk,timed,time,Treadmill,Treadmill,None,treadmill,cardio,cardio,cardio,5782,,,
VersaClimber,versaclimber,timed,time,VersaClimber,VersaClimber,None,versaclimber,cardio,cardio,cardio,5897,,,
Assisted Dip Machine,assisted_dip_machine,repped,reps,Assisted pull-up machine,Assisted pull-up machine,None,assisted_pullup_machine,gym,strength,chest,4337,,,
Band Chest Press,band_chest_press,repped,reps,Resistance bands (tube),Resistance bands (tube),None,resistance_bands,home,strength,chest,3718,,,
Barbell Bench Press,barbell_bench_press,repped,reps,Barbell; Flat bench; Squat rack,Barbell; Flat bench,Squat rack,barbell; flat_bench; squat_rack,gym,strength,chest,119,,,
Barbell Floor Press,barbell_floor_press,repped,reps,Barbell,Barbell,None,barbell,gym,strength,chest,4256,,,
Bilateral Cable Chest Press,bilateral_cable_chest_press,repped,reps,Cable machine,Cable machine,None,cable_machine,gym,strength,chest,4370,,,
Cable Fly,cable_fly,repped,reps,Cable machine,Cable machine,None,cable_machine,gym,strength,chest,303,,,
Chest Dips,chest_dips,repped,reps,Dip bars,Dip bars,None,dip_bars,home,strength,chest,270,,,
Decline Bench Press,decline_bench_press,repped,reps,Barbell; Decline bench,Barbell; Decline bench,None,barbell; decline_bench,gym,strength,chest,154,,,
Decline Dumbbell Press,decline_dumbbell_press,repped,reps,Dumbbells; Decline bench,Dumbbells; Decline bench,None,dumbbells; decline_bench,dumbbells,strength,chest,6821,,,
Decline Push-ups,decline_pushups,repped,reps,"Plyo box (24""+); Flat bench","Plyo box (24""+)",Flat bench,plyo_box; flat_bench,bodyweight,strength,chest,207,,,
Deficit Push-up,deficit_pushup,repped,reps,None,None,None,None,bodyweight,strength,chest,4322,,,
Dumbbell Bench Press,dumbbell_bench_press,repped,reps,Dumbbells; Flat bench,Dumbbells; Flat bench,None,dumbbells; flat_bench,dumbbells,strength,chest,171,,,
Dumbbell Floor Press,dumbbell_floor_press,repped,reps,Dumbbells,Dumbbells,None,dumbbells,dumbbells,strength,chest,4241,,,
Dumbbell Fly,dumbbell_fly,repped,reps,Dumbbells; Flat bench,Dumbbells; Flat bench,None,dumbbells; flat_bench,dumbbells,strength,chest,286,,,
Dumbbell Pullover,dumbbell_pullover,repped,reps,Dumbbells; Flat bench,Dumbbells; Flat bench,None,dumbbells; flat_bench,dumbbells,strength,chest,4352,,,
High-to-Low Cable Fly,high_to_low_cable_fly,repped,reps,Cable machine; Cable D-handle,Cable machine; Cable D-handle,None,cable_machine; d_handle,gym,strength,chest,3036,,,
Incline Barbell Press,incline_barbell_press,repped,reps,Barbell; Incline bench,Barbell; Incline bench,None,barbell; incline_bench,gym,strength,chest,137,,,
Incline Dumbbell Fly,incline_dumbbell_fly,repped,reps,Dumbbells; Incline bench,Dumbbells; Incline bench,None,dumbbells; incline_bench,dumbbells,strength,chest,6839,,,
Incline Dumbbell Press,incline_dumbbell_press,repped,reps,Dumbbells; Incline bench,Dumbbells; Incline bench,None,dumbbells; incline_bench,dumbbells,strength,chest,190,,,
Incline Push-up,incline_pushup,repped,reps,Flat bench,Flat bench,None,flat_bench,bodyweight,strength,chest,4307,,,
Low-to-High Cable Fly,low_to_high_cable_fly,repped,reps,Cable machine; Cable D-handle,Cable machine; Cable D-handle,None,cable_machine; d_handle,gym,strength,chest,3019,,,
Machine Chest Fly,machine_chest_fly,repped,reps,Pec deck machine,Pec deck machine,None,pec_deck_machine,gym,strength,chest,3002,,,
Machine Chest Press,machine_chest_press,repped,reps,Chest press machine,Chest press machine,None,chest_press_machine,gym,strength,chest,319,,,
Med Ball Chest Pass,med_ball_chest_pass,repped,reps,Medicine ball,Medicine ball,None,medicine_ball,other,strength,chest,3562,,,
Pec Deck,pec_deck,repped,reps,Pec deck machine,Pec deck machine,None,pec_deck_machine,gym,strength,chest,335,,,
Push-ups,pushups,repped,reps,None,None,None,None,bodyweight,strength,chest,228,,,
Sandbag Floor Press,sandbag_floor_press,repped,reps,Sandbag,Sandbag,None,sandbag,other,strength,chest,6985,,,
Single-Arm Cable Chest Press,single_arm_cable_press,repped,reps,Cable machine,Cable machine,None,cable_machine,gym,strength,chest,2869,,,
Single-Arm Cable Fly,single_arm_cable_fly,repped,reps,Cable machine; Cable D-handle,Cable machine; Cable D-handle,None,cable_machine; d_handle,gym,strength,chest,3053,,,
Single-Arm Dumbbell Bench Press,single_arm_dumbbell_bench_press,repped,reps,Dumbbells; Flat bench,Dumbbells; Flat bench,None,dumbbells; flat_bench,dumbbells,strength,chest,2814,,,
Smith Machine Bench Press,smith_machine_bench_press,repped,reps,Smith machine; Flat bench,Smith machine; Flat bench,None,smith_machine; flat_bench,gym,strength,chest,4271,,,
Smith Machine Incline Press,smith_machine_incline_press,repped,reps,Smith machine; Incline bench,Smith machine; Incline bench,None,smith_machine; incline_bench,gym,strength,chest,4289,,,
Stability Ball Chest Press,stability_ball_chest_press,repped,reps,Dumbbells; Swiss / stability ball,Dumbbells; Swiss / stability ball,None,dumbbells; swiss_ball,other,strength,chest,6162,,,
TRX Chest Press,trx_chest_press,repped,reps,Suspension trainer,Suspension trainer,None,suspension_trainer,bodyweight,strength,chest,4043,,,
Weighted Push-up,weighted_pushup,repped,reps,Weighted vest; Weight plates,None,Weighted vest; Weight plates,weighted_vest; weight_plates,other,strength,chest,2984,,,
Wide Push-ups,wide_pushups,repped,reps,None,None,None,None,bodyweight,strength,chest,242,,,
Mountain Climbers,mountain_climbers,timed,time,None,None,None,None,bodyweight,cardio,core,1959,,,
Plank Jacks,plank_jacks,timed,time,None,None,None,None,bodyweight,cardio,core,7164,,,
Ab Wheel Rollout,ab_wheel_rollout,repped,reps,Ab wheel,Ab wheel,None,ab_wheel,home,strength,core,1943,,,
Alternating Leg Lower,alternating_leg_lower,repped,reps,None,None,None,None,bodyweight,strength,core,7427,,,
Bear Crawl,bear_crawl,distance,distance,None,None,None,None,bodyweight,strength,core,5605,,,
Bear Plank Hold,bear_plank_hold,timed,time,None,None,None,None,bodyweight,strength,core,7488,,,
Bent-Knee Leg Raise,bent_knee_leg_raise,repped,reps,None,None,None,None,bodyweight,strength,core,7412,,,
Bicycle Crunch,bicycle_crunch,repped,reps,None,None,None,None,bodyweight,strength,core,7337,,,
Bird Dog,bird_dog,repped,reps,None,None,None,None,bodyweight,strength,core,1883,,,
Cable Crunch,cable_crunch,repped,reps,Cable machine,Cable machine,None,cable_machine,gym,strength,core,1897,,,
Cable Pallof Hold,cable_pallof_hold,timed,time,Cable machine,Cable machine,None,cable_machine,gym,strength,core,5666,,,
Cable Woodchop,cable_woodchop,repped,reps,Cable machine,Cable machine,None,cable_machine,gym,strength,core,1977,,,
Captain's Chair Leg Raise,captains_chair_leg_raise,repped,reps,Captain's chair,Captain's chair,None,captain_chair,gym,strength,core,5700,,,
Copenhagen Plank,copenhagen_plank,timed,time,None,None,None,None,bodyweight,strength,core,1701,,,
Cross-Body Crunch,cross_body_crunch,repped,reps,None,None,None,None,bodyweight,strength,core,7382,,,
Crunch Machine,crunch_machine,repped,reps,Ab crunch machine,Ab crunch machine,None,ab_crunch_machine,gym,strength,core,5513,,,
Dead Bug,dead_bug,repped,reps,None,None,None,None,bodyweight,strength,core,1869,,,
Dead Bug Heel Tap,dead_bug_heel_tap,repped,reps,None,None,None,None,bodyweight,strength,core,7457,,,
Decline Crunch,decline_crunch,repped,reps,Decline bench,Decline bench,None,decline_bench,gym,strength,core,6875,,,
Decline Sit-up,decline_situp,repped,reps,Decline bench,Decline bench,None,decline_bench,gym,strength,core,5528,,,
Double Crunch,double_crunch,repped,reps,None,None,None,None,bodyweight,strength,core,7397,,,
Floor Crunch,floor_crunch,repped,reps,None,None,None,None,bodyweight,strength,core,7275,,,
Flutter Kicks,flutter_kicks,timed,time,None,None,None,None,bodyweight,strength,core,7305,,,
Hanging Knee Raise,hanging_knee_raise,repped,reps,Pull-up bar; Captain's chair,None,Pull-up bar; Captain's chair,pull_up_bar; captain_chair,home,strength,core,3599,,,
Hanging Leg Raise,hanging_leg_raise,repped,reps,Pull-up bar,Pull-up bar,None,pull_up_bar,home,strength,core,1913,,,
Heel Taps,heel_taps,repped,reps,None,None,None,None,bodyweight,strength,core,7352,,,
Hollow Body Hold,hollow_body_hold,timed,time,None,None,None,None,bodyweight,strength,core,3667,,,
Hollow Rocks,hollow_rocks,repped,reps,None,None,None,None,bodyweight,strength,core,7504,,,
Kettlebell Windmill,kettlebell_windmill,repped,reps,Kettlebell,Kettlebell,None,kettlebell,other,strength,core,3883,,,
Landmine Rotation,landmine_rotation,repped,reps,Barbell; Landmine attachment,Barbell,Landmine attachment,barbell; landmine_attachment,gym,strength,core,5682,,,
Long-Lever Plank,long_lever_plank,timed,time,None,None,None,None,bodyweight,strength,core,7472,,,
Lying Leg Raise,lying_leg_raise,repped,reps,None,None,None,None,bodyweight,strength,core,7290,,,
McGill Curl-Up,mcgill_curl_up,repped,reps,None,None,None,None,bodyweight,strength,core,7442,,,
Med Ball Rotational Throw,med_ball_rotational_throw,repped,reps,Medicine ball,Medicine ball,None,medicine_ball,other,strength,core,3545,,,
Medicine Ball Sit-up,medicine_ball_situp,repped,reps,Medicine ball,Medicine ball,None,medicine_ball,other,strength,core,6908,,,
Pallof Press,pallof_press,repped,reps,Cable machine,Cable machine,None,cable_machine,gym,strength,core,1993,,,
Plank,plank,timed,time,None,None,None,None,bodyweight,strength,core,1839,,,
Plank Reach,plank_reach,repped,reps,None,None,None,None,bodyweight,strength,core,7520,,,
Plank Shoulder Tap,plank_shoulder_tap,repped,reps,None,None,None,None,bodyweight,strength,core,5590,,,
Reverse Crunch,reverse_crunch,repped,reps,None,None,None,None,bodyweight,strength,core,3634,,,
Russian Twist,russian_twist,repped,reps,None,None,None,None,bodyweight,strength,core,1929,,,
Scissor Kicks,scissor_kicks,timed,time,None,None,None,None,bodyweight,strength,core,7321,,,
Side Plank,side_plank,timed,time,None,None,None,None,bodyweight,strength,core,1854,,,
Side Plank Hip Dip,side_plank_hip_dip,repped,reps,None,None,None,None,bodyweight,strength,core,7535,,,
Side Plank Reach-Through,side_plank_reach_through,repped,reps,None,None,None,None,bodyweight,strength,core,7550,,,
Sit-up,situp,repped,reps,None,None,None,None,bodyweight,strength,core,5636,,,
Slider Body Saw,slider_body_saw,repped,reps,Slider discs,Slider discs,None,slider_discs,bodyweight,strength,core,6772,,,
Slider Mountain Climber,slider_mountain_climber,timed,time,Slider discs,Slider discs,None,slider_discs,bodyweight,strength,core,6803,,,
Stability Ball Crunch,stability_ball_crunch,repped,reps,Swiss / stability ball,Swiss / stability ball,None,swiss_ball,other,strength,core,5543,,,
Stability Ball Pass,stability_ball_pass,repped,reps,Swiss / stability ball,Swiss / stability ball,None,swiss_ball,other,strength,core,6252,,,
Stability Ball Pike,stability_ball_pike,repped,reps,Swiss / stability ball,Swiss / stability ball,None,swiss_ball,other,strength,core,6180,,,
Stability Ball Plank,stability_ball_plank,timed,time,Swiss / stability ball,Swiss / stability ball,None,swiss_ball,other,strength,core,5558,,,
